Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,collected_by,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,ID,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,Strain,sub_species,Tissue,disease,Treatment,disease_stage
SRR17139210,missing,WXS,152,21597366576,PRJNA786469,SAMN23673660,Model organism or animal,Poodle,14092866703,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323637,10,Illumina HiSeq 2000,not applicable,LID10,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:04:00Z,1,B00E00N,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139211,13,WXS,152,13742080600,PRJNA786469,SAMN23673740,Model organism or animal,Labrador Retriever,9015750037,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323636,90,Illumina HiSeq 2000,not applicable,LID90,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:11:00Z,1,B00E032,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139212,7,WXS,152,19100833152,PRJNA786469,SAMN23673739,Model organism or animal,Labrador Retriever,12551360024,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323635,89,Illumina HiSeq 2000,not applicable,LID89,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:22:00Z,1,B00E031,female,SRP349373,not applicable,familiaris,missing,Melanoma,,
SRR17139213,7,WXS,152,13749426608,PRJNA786469,SAMN23673738,Model organism or animal,Labrador Retriever,9007548532,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX13323634,88,Illumina HiSeq 2000,not applicable,LID88,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:45:00Z,1,B00E030,female,SRP349373,not applicable,familiaris,blood,,,
SRR17139214,missing,WXS,152,18360294016,PRJNA786469,SAMN23673737,Model organism or animal,Labrador Retriever,11984304911,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX13323633,87,Illumina HiSeq 2000,not applicable,LID87,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:25:00Z,1,B00E02Z,Missing,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139215,missing,WXS,152,11392184160,PRJNA786469,SAMN23673736,Model organism or animal,Labrador Retriever,7406875546,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323632,86,Illumina HiSeq 2000,not applicable,LID86,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:59:00Z,1,B00E02Y,Missing,SRP349373,not applicable,familiaris,blood,,,
SRR17139216,16,WXS,152,8583837328,PRJNA786469,SAMN23673735,Model organism or animal,Labrador Retriever,5604068748,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323631,85,Illumina HiSeq 2000,not applicable,LID85,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:48:00Z,1,B00E02X,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139217,16,WXS,152,13001711856,PRJNA786469,SAMN23673734,Model organism or animal,Labrador Retriever,8622059969,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX13323630,84,Illumina HiSeq 2000,not applicable,LID84,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:57:00Z,1,B00E02W,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139218,7,WXS,152,22963041432,PRJNA786469,SAMN23673733,Model organism or animal,Labrador Retriever,15132010453,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323629,83,Illumina HiSeq 2000,not applicable,LID83,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:30:00Z,1,B00E02V,male,SRP349373,not applicable,familiaris,missing,Melanoma,,
SRR17139219,7,WXS,152,13491433208,PRJNA786469,SAMN23673732,Model organism or animal,Labrador Retriever,8792716462,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX13323628,82,Illumina HiSeq 2000,not applicable,LID82,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:13:00Z,1,B00E02U,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139220,9,WXS,152,12860753592,PRJNA786469,SAMN23673731,Model organism or animal,Labrador Retriever,8398204399,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323627,81,Illumina HiSeq 2000,not applicable,LID81,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:52:00Z,1,B00E02T,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139221,missing,WXS,152,11443688296,PRJNA786469,SAMN23673659,Model organism or animal,Poodle,7591236009,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX13323626,9,Illumina HiSeq 2000,not applicable,LID9,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:04:00Z,1,B00E00M,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139222,9,WXS,152,9106933624,PRJNA786469,SAMN23673730,Model organism or animal,Labrador Retriever,6016313967,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323625,80,Illumina HiSeq 2000,not applicable,LID80,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:37:00Z,1,B00E02S,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139223,missing,WXS,152,14436196352,PRJNA786469,SAMN23673729,Model organism or animal,Labrador Retriever,9434877851,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323624,79,Illumina HiSeq 2000,not applicable,LID79,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:09:00Z,1,B00E02R,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139224,missing,WXS,152,11083179104,PRJNA786469,SAMN23673728,Model organism or animal,Labrador Retriever,7089716553,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX13323623,78,Illumina HiSeq 2000,not applicable,LID78,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:34:00Z,1,B00E02Q,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139225,missing,WXS,152,27484123808,PRJNA786469,SAMN23673727,Model organism or animal,Labrador Retriever,18090147798,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323622,77,Illumina HiSeq 2000,not applicable,LID77,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:00:00Z,1,B00E02P,Missing,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139226,missing,WXS,152,12638429576,PRJNA786469,SAMN23673726,Model organism or animal,Labrador Retriever,8313452427,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX13323621,76,Illumina HiSeq 2000,not applicable,LID76,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:51:00Z,1,B00E02O,Missing,SRP349373,not applicable,familiaris,blood,,,
SRR17139227,missing,WXS,152,16805468688,PRJNA786469,SAMN23673725,Model organism or animal,Labrador Retriever,11115106371,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323620,75,Illumina HiSeq 2000,not applicable,LID75,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:15:00Z,1,B00E02N,female,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139228,missing,WXS,152,12514729544,PRJNA786469,SAMN23673724,Model organism or animal,Labrador Retriever,8237062271,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX13323619,74,Illumina HiSeq 2000,not applicable,LID74,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:01:00Z,1,B00E02M,female,SRP349373,not applicable,familiaris,blood,,,
SRR17139229,missing,WXS,152,18252178088,PRJNA786469,SAMN23673723,Model organism or animal,Labrador Retriever,12051737798,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323618,73,Illumina HiSeq 2000,not applicable,LID73,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:59:00Z,1,B00E02L,female,SRP349373,not applicable,familiaris,skin (ocular),Melanoma,,
SRR17139230,missing,WXS,152,13463929872,PRJNA786469,SAMN23673722,Model organism or animal,Labrador Retriever,8884407940,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",not applicable,not applicable,SRX13323617,72,Illumina HiSeq 2000,not applicable,LID72,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:08:00Z,1,B00E02K,female,SRP349373,not applicable,familiaris,blood,,,
SRR17139231,missing,WXS,152,14670971296,PRJNA786469,SAMN23673721,Model organism or animal,Labrador Retriever,9538243659,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX13323616,71,Illumina HiSeq 2000,not applicable,LID71,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:11:00Z,1,B00E02J,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139232,15,WXS,152,76529416,PRJNA786469,SAMN23673658,Model organism or animal,Poodle,43303971,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323615,8,Illumina HiSeq 2000,not applicable,LID8,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:20:00Z,1,B00E00L,Missing,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139233,missing,WXS,152,11799594320,PRJNA786469,SAMN23673720,Model organism or animal,Labrador Retriever,7792324314,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323614,70,Illumina HiSeq 2000,not applicable,LID70,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:38:00Z,1,B00E02I,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139234,missing,WXS,152,11403470160,PRJNA786469,SAMN23673719,Model organism or animal,Labrador Retriever,7557089303,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323613,69,Illumina HiSeq 2000,not applicable,LID69,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:39:00Z,1,B00E02H,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139235,missing,WXS,152,6001716504,PRJNA786469,SAMN23673718,Model organism or animal,Labrador Retriever,3855985729,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323612,68,Illumina HiSeq 2000,not applicable,LID68,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:31:00Z,1,B00E02G,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139236,12,WXS,152,11223376152,PRJNA786469,SAMN23673717,Model organism or animal,Golden Retriever,7342668623,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX13323611,67,Illumina HiSeq 2000,not applicable,LID67,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:35:00Z,1,B00E02C,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139237,12,WXS,152,16125624368,PRJNA786469,SAMN23673716,Model organism or animal,Golden Retriever,10443122201,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",not applicable,not applicable,SRX13323610,66,Illumina HiSeq 2000,not applicable,LID66,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:12:00Z,1,B00E02B,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139238,12,WXS,152,12385594752,PRJNA786469,SAMN23673715,Model organism or animal,Golden Retriever,7952062496,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323609,65,Illumina HiSeq 2000,not applicable,LID65,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:04:00Z,1,B00E02A,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139239,13,WXS,152,17558437624,PRJNA786469,SAMN23673714,Model organism or animal,Golden Retriever,11650533682,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323608,64,Illumina HiSeq 2000,not applicable,LID64,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:12:00Z,1,B00E027,female,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139240,13,WXS,152,11515355536,PRJNA786469,SAMN23673713,Model organism or animal,Golden Retriever,7621406513,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323607,63,Illumina HiSeq 2000,not applicable,LID63,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:00:00Z,1,B00E026,female,SRP349373,not applicable,familiaris,blood,,,
SRR17139241,11,WXS,152,19553402056,PRJNA786469,SAMN23673712,Model organism or animal,Golden Retriever,12954842972,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323606,62,Illumina HiSeq 2000,not applicable,LID62,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:18:00Z,1,B00E025,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
SRR17139242,11,WXS,152,13060376864,PRJNA786469,SAMN23673711,Model organism or animal,Golden Retriever,8542649254,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",not applicable,not applicable,SRX13323605,61,Illumina HiSeq 2000,not applicable,LID61,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:03:00Z,1,B00E024,male,SRP349373,not applicable,familiaris,blood,,,
SRR17139244,12,WXS,152,17165411832,PRJNA786469,SAMN23673710,Model organism or animal,Golden Retriever,11296320248,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323603,60,Illumina HiSeq 2000,not applicable,LID60,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:17:00Z,1,B00E023,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma-lip,,malignant
SRR17139245,12,WXS,152,12072780576,PRJNA786469,SAMN23673709,Model organism or animal,Golden Retriever,7888528063,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",not applicable,not applicable,SRX13323602,59,Illumina HiSeq 2000,not applicable,LID59,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T09:57:00Z,1,B00E022,male,SRP349373,not applicable,familiaris,blood,,,malignant
SRR17139246,11,WXS,152,13834214488,PRJNA786469,SAMN23673708,Model organism or animal,Golden Retriever,9094196019,CNRS - UNIVERSITY RENNES1,CNRS - university RENNES,public,not applicable,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",not applicable,not applicable,SRX13323601,58,Illumina HiSeq 2000,not applicable,LID58,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-12-06T00:00:00Z,2021-12-06T10:12:00Z,1,B00E021,male,SRP349373,not applicable,familiaris,oral cavity,Melanoma,,
