Run,Age,Assay Type,AssemblyName,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Birth_date,BREED,Bytes,Center Name,collected_by,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,death_date,dev_stage,disease,Ecotype,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,store_cond,Strain,sub_species,Tissue,Treatment
SRR13571590,3.4027397260274,WXS,AAEX03,250,4047043750,Suter_NCState,PRJNA695534,SAMN17615858,Model organism or animal,2008-04-08T00:00:00,Miniature Schnauzer,1659179381,CORNELL UNIVERSITY,Suter_NCState,2011-09-02,public,not applicable,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2013-05-05T00:00:00,adult,DLBCL,not applicable,SRX9969854,Illumina HiSeq 2500,not applicable,4103.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:07:00Z,1,4103.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571591,8.70958904109589,WXS,AAEX03,250,2994572500,Suter_NCState,PRJNA695534,SAMN17615920,Model organism or animal,2005-09-28T00:00:00,Boxer,1360297649,CORNELL UNIVERSITY,Suter_NCState,2014-06-12,public,not applicable,"bam,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2015-03-27T00:00:00,adult,DLBCL,not applicable,SRX9969853,Illumina HiSeq 2500,not applicable,4146.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:08:00Z,1,4146.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571592,8.70958904109589,WXS,AAEX03,250,4565428000,Suter_NCState,PRJNA695534,SAMN17615919,Model organism or animal,2005-09-28T00:00:00,Boxer,1942143155,CORNELL UNIVERSITY,Suter_NCState,2014-06-12,public,not applicable,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2015-03-27T00:00:00,adult,DLBCL,not applicable,SRX9969852,Illumina HiSeq 2500,not applicable,4146.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:08:00Z,1,4146.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571593,11.10958904109589,WXS,AAEX03,250,7658460250,Suter_NCState,PRJNA695534,SAMN17615918,Model organism or animal,2003-04-17T00:00:00,Beagle,3297590707,CORNELL UNIVERSITY,Suter_NCState,2014-05-24,public,not applicable,"run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2015-01-03T00:00:00,adult,DLBCL,not applicable,SRX9969851,Illumina HiSeq 2500,not applicable,4145.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:13:00Z,1,4145.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): No
SRR13571594,11.10958904109589,WXS,AAEX03,250,5324948750,Suter_NCState,PRJNA695534,SAMN17615917,Model organism or animal,2003-04-17T00:00:00,Beagle,2236131797,CORNELL UNIVERSITY,Suter_NCState,2014-05-24,public,not applicable,"run.zq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2015-01-03T00:00:00,adult,DLBCL,not applicable,SRX9969850,Illumina HiSeq 2500,not applicable,4145.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:09:00Z,1,4145.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): No
SRR13571595,9.975342465753425,WXS,AAEX03,250,6714509750,Suter_NCState,PRJNA695534,SAMN17615916,Model organism or animal,2004-03-31T00:00:00,Australian Shepherd,2812153497,CORNELL UNIVERSITY,Suter_NCState,2014-03-20,public,not applicable,"run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2014-09-24T00:00:00,adult,DLBCL,not applicable,SRX9969849,Illumina HiSeq 2500,not applicable,4144.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:11:00Z,1,4144.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571596,9.975342465753425,WXS,AAEX03,250,7441700750,Suter_NCState,PRJNA695534,SAMN17615915,Model organism or animal,2004-03-31T00:00:00,Australian Shepherd,3111325640,CORNELL UNIVERSITY,Suter_NCState,2014-03-20,public,not applicable,"sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2014-09-24T00:00:00,adult,DLBCL,not applicable,SRX9969848,Illumina HiSeq 2500,not applicable,4144.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:12:00Z,1,4144.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571597,9.843835616438357,WXS,AAEX03,250,6528861250,Suter_NCState,PRJNA695534,SAMN17615914,Model organism or animal,2004-05-02T00:00:00,Yorkshire Terrier,2677458517,CORNELL UNIVERSITY,Suter_NCState,2014-03-04,public,not applicable,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2014-06-09T00:00:00,adult,DLBCL,not applicable,SRX9969847,Illumina HiSeq 2500,not applicable,4142.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:10:00Z,1,4142.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571598,9.843835616438357,WXS,AAEX03,250,7033610250,Suter_NCState,PRJNA695534,SAMN17615913,Model organism or animal,2004-05-02T00:00:00,Yorkshire Terrier,2948942016,CORNELL UNIVERSITY,Suter_NCState,2014-03-04,public,not applicable,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2014-06-09T00:00:00,adult,DLBCL,not applicable,SRX9969846,Illumina HiSeq 2500,not applicable,4142.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:12:00Z,1,4142.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571599,6.682191780821918,WXS,AAEX03,250,4954031000,Suter_NCState,PRJNA695534,SAMN17615912,Model organism or animal,2007-06-04T00:00:00,Mix_Labradoodle,2153859676,CORNELL UNIVERSITY,Suter_NCState,2014-02-06,public,not applicable,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2014-05-01T00:00:00,adult,DLBCL,not applicable,SRX9969845,Illumina HiSeq 2500,not applicable,4140.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:09:00Z,1,4140.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): Yes
SRR13571600,6.682191780821918,WXS,AAEX03,250,4658804500,Suter_NCState,PRJNA695534,SAMN17615911,Model organism or animal,2007-06-04T00:00:00,Mix_Labradoodle,1952335231,CORNELL UNIVERSITY,Suter_NCState,2014-02-06,public,not applicable,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2014-05-01T00:00:00,adult,DLBCL,not applicable,SRX9969844,Illumina HiSeq 2500,not applicable,4140.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:12:00Z,1,4140.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): Yes
SRR13571601,3.4027397260274,WXS,AAEX03,250,5067824750,Suter_NCState,PRJNA695534,SAMN17615857,Model organism or animal,2008-04-08T00:00:00,Miniature Schnauzer,2088013283,CORNELL UNIVERSITY,Suter_NCState,2011-09-02,public,not applicable,"run.zq,sra,bam","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",2013-05-05T00:00:00,adult,DLBCL,not applicable,SRX9969843,Illumina HiSeq 2500,not applicable,4103.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:12:00Z,1,4103.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571602,4.545205479452055,WXS,AAEX03,250,6221534250,Suter_NCState,PRJNA695534,SAMN17615910,Model organism or animal,2009-03-07T00:00:00,Boykin Spaniel,2648797229,CORNELL UNIVERSITY,Suter_NCState,2013-09-21,public,not applicable,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2014-09-29T00:00:00,adult,DLBCL,not applicable,SRX9969842,Illumina HiSeq 2500,not applicable,4136.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:10:00Z,1,4136.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Treatment unknown or excluded
SRR13571603,4.545205479452055,WXS,AAEX03,250,7452651750,Suter_NCState,PRJNA695534,SAMN17615909,Model organism or animal,2009-03-07T00:00:00,Boykin Spaniel,3248684058,CORNELL UNIVERSITY,Suter_NCState,2013-09-21,public,not applicable,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2014-09-29T00:00:00,adult,DLBCL,not applicable,SRX9969841,Illumina HiSeq 2500,not applicable,4136.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:13:00Z,1,4136.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Treatment unknown or excluded
SRR13571604,3.6767123287671235,WXS,AAEX03,250,7617277500,Richards_Cornell,PRJNA695534,SAMN17615991,Model organism or animal,2011-10-08T00:00:00,Rottweiler,3280688561,CORNELL UNIVERSITY,Richards_Cornell,2015-06-11,public,not applicable,"run.zq,bam,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2018-07-26T00:00:00,adult,DLBCL,not applicable,SRX9969840,Illumina HiSeq 2500,not applicable,4199.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:19:00Z,1,4199.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): NA
SRR13571605,15.591780821917808,WXS,AAEX03,250,5674344000,Suter_NCState,PRJNA695534,SAMN17615865,Model organism or animal,1996-06-04T00:00:00,"Terrier\, NOS",2679927690,CORNELL UNIVERSITY,Suter_NCState,2012-01-03,public,not applicable,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2013-03-05T00:00:00,adult,DLBCL,not applicable,SRX9969839,Illumina HiSeq 2500,not applicable,4108.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:11:00Z,1,4108.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): Yes
SRR13571606,5.975342465753425,WXS,AAEX03,250,6068422500,Richards_Cornell,PRJNA695534,SAMN17615990,Model organism or animal,2009-04-12T00:00:00,Golden Retriever,2569834439,CORNELL UNIVERSITY,Richards_Cornell,2015-04-02,public,not applicable,"run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2015-08-27T00:00:00,adult,DLBCL,not applicable,SRX9969838,Illumina HiSeq 2500,not applicable,4197.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:10:00Z,1,4197.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571607,5.975342465753425,WXS,AAEX03,250,8050405500,Richards_Cornell,PRJNA695534,SAMN17615989,Model organism or animal,2009-04-12T00:00:00,Golden Retriever,3388418602,CORNELL UNIVERSITY,Richards_Cornell,2015-04-02,public,not applicable,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2015-08-27T00:00:00,adult,DLBCL,not applicable,SRX9969837,Illumina HiSeq 2500,not applicable,4197.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:14:00Z,1,4197.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
SRR13571608,9.210958904109589,WXS,AAEX03,250,5395451500,Richards_Cornell,PRJNA695534,SAMN17615988,Model organism or animal,2006-05-20T00:00:00,Golden Retriever,2322224114,CORNELL UNIVERSITY,Richards_Cornell,2015-08-03,public,not applicable,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2016-02-15T00:00:00,adult,DLBCL,not applicable,SRX9969836,Illumina HiSeq 2500,not applicable,4195.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:10:00Z,1,4195.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): NA
SRR13571609,9.210958904109589,WXS,AAEX03,250,5469526500,Richards_Cornell,PRJNA695534,SAMN17615987,Model organism or animal,2006-05-20T00:00:00,Golden Retriever,2320016459,CORNELL UNIVERSITY,Richards_Cornell,2015-08-03,public,not applicable,"run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2016-02-15T00:00:00,adult,DLBCL,not applicable,SRX9969835,Illumina HiSeq 2500,not applicable,4195.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:09:00Z,1,4195.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): NA
SRR13571610,13.008219178082191,WXS,AAEX03,250,5089238250,Richards_Cornell,PRJNA695534,SAMN17615986,Model organism or animal,2001-06-24T00:00:00,Belgian Malinois,2203252625,CORNELL UNIVERSITY,Richards_Cornell,2014-06-24,public,not applicable,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2014-08-01T00:00:00,adult,DLBCL,not applicable,SRX9969834,Illumina HiSeq 2500,not applicable,4194.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:09:00Z,1,4194.b,female,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): NA
SRR13571611,13.008219178082191,WXS,AAEX03,250,6976589500,Richards_Cornell,PRJNA695534,SAMN17615985,Model organism or animal,2001-06-24T00:00:00,Belgian Malinois,3017980103,CORNELL UNIVERSITY,Richards_Cornell,2014-06-24,public,not applicable,"run.zq,bam,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2014-08-01T00:00:00,adult,DLBCL,not applicable,SRX9969833,Illumina HiSeq 2500,not applicable,4194.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:19:00Z,1,4194.a,female,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): NA
SRR13571612,9.035616438356165,WXS,AAEX03,250,5804760250,Richards_Cornell,PRJNA695534,SAMN17615984,Model organism or animal,2001-07-01T00:00:00,Golden Retriever,2489599848,CORNELL UNIVERSITY,Richards_Cornell,2010-07-12,public,not applicable,"run.zq,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2010-09-27T00:00:00,adult,DLBCL,not applicable,SRX9969832,Illumina HiSeq 2500,not applicable,4191.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:21:00Z,1,4191.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): NA
SRR13571613,9.035616438356165,WXS,AAEX03,250,618829250,Richards_Cornell,PRJNA695534,SAMN17615983,Model organism or animal,2001-07-01T00:00:00,Golden Retriever,305100300,CORNELL UNIVERSITY,Richards_Cornell,2010-07-12,public,not applicable,"run.zq,bam,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2010-09-27T00:00:00,adult,DLBCL,not applicable,SRX9969831,Illumina HiSeq 2500,not applicable,4191.a,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:04:00Z,1,4191.a,male,SRP303671,FFPE,not applicable,familiaris,tumor DNA from excisional biopsy of lymph node,Initial chemotherapy: Single Agent; Chemotherapy after relapse (Y/N): NA
SRR13571614,9.912328767123288,WXS,AAEX03,250,8273748250,Richards_Cornell,PRJNA695534,SAMN17615982,Model organism or animal,2000-02-23T00:00:00,Golden Retriever,3561067377,CORNELL UNIVERSITY,Richards_Cornell,2010-01-19,public,not applicable,"run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2010-05-08T00:00:00,adult,DLBCL,not applicable,SRX9969830,Illumina HiSeq 2500,not applicable,4189.b,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2021-09-01T00:00:00Z,2021-01-28T13:13:00Z,1,4189.b,male,SRP303671,refrigerated EDTA blood,not applicable,familiaris,matched normal DNA from EDTA blood,Initial chemotherapy: Multi-agent; Chemotherapy after relapse (Y/N): Yes
