Run,ArrayExpress-Phenotype,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,sub_species,Subject_ID,Submitter_Id
ERR3469378,Blood,Canis familiaris,WXS,AAEX03,150,7105538850,PRJEB24200,SAMEA4673489,1680712248,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491041,SAMEA4673489,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:09Z,public,Illumina HiSeq 4000,DN520574J:E1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:37:00Z,1,SAMEA4673489,611e9160-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0110b,611e9160-5392-11e8-a54b-3c4a9275d6c8
ERR3469380,Blood,Canis familiaris,WXS,AAEX03,150,5415349800,PRJEB24200,SAMEA4673491,1313896997,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491043,SAMEA4673491,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:10Z,public,Illumina HiSeq 4000,DN520574J:G1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:35:00Z,1,SAMEA4673491,614bcbb2-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0112b,614bcbb2-5392-11e8-a54b-3c4a9275d6c8
ERR3469382,Lymph Node,Canis familiaris,WXS,AAEX03,150,6615263550,PRJEB24200,SAMEA4673509,1615813965,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491045,SAMEA4673509,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:15Z,public,Illumina HiSeq 4000,DN520574J:A4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Lymph Node,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:36:00Z,1,SAMEA4673509,61f243d4-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0108c,61f243d4-5392-11e8-a54b-3c4a9275d6c8
ERR3469384,Lymph Node,Canis familiaris,WXS,AAEX03,150,7132746150,PRJEB24200,SAMEA4673511,1727282958,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491047,SAMEA4673511,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:15Z,public,Illumina HiSeq 4000,DN520574J:C4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Lymph Node,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:35:00Z,1,SAMEA4673511,62034b0c-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0109c,62034b0c-5392-11e8-a54b-3c4a9275d6c8
ERR3469386,Lymph Node,Canis familiaris,WXS,AAEX03,150,5380206750,PRJEB24200,SAMEA4673513,1565285876,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491049,SAMEA4673513,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:16Z,public,Illumina HiSeq 4000,DN520574J:E4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Lymph Node,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:36:00Z,1,SAMEA4673513,6214193c-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0110c,6214193c-5392-11e8-a54b-3c4a9275d6c8
ERR3469388,Skin,Canis familiaris,WXS,AAEX03,150,9909159750,PRJEB24200,SAMEA4673515,2446668803,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491051,SAMEA4673515,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:16Z,public,Illumina HiSeq 4000,DN520574J:G4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:44:00Z,1,SAMEA4673515,62219e90-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0112a,62219e90-5392-11e8-a54b-3c4a9275d6c8
ERR3469389,Skin,Canis familiaris,WXS,AAEX03,150,6929953200,PRJEB24200,SAMEA4673516,1731452481,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491052,SAMEA4673516,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:17Z,public,Illumina HiSeq 4000,DN520574J:H4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:37:00Z,1,SAMEA4673516,622983d0-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0112c,622983d0-5392-11e8-a54b-3c4a9275d6c8
ERR3469390,Lymph Node,Canis familiaris,WXS,AAEX03,150,9532121100,PRJEB24200,SAMEA4673517,2435319525,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491053,SAMEA4673517,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:17Z,public,Illumina HiSeq 4000,DN520574J:A5,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Lymph Node,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:47:00Z,1,SAMEA4673517,6231c05e-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0112d,6231c05e-5392-11e8-a54b-3c4a9275d6c8
ERR3469393,Skin,Canis familiaris,WXS,AAEX03,150,5533839000,PRJEB24200,SAMEA4673522,1430099826,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491056,SAMEA4673522,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:18Z,public,Illumina HiSeq 4000,DN520574J:F5,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:34:00Z,1,SAMEA4673522,625839c8-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0115a,625839c8-5392-11e8-a54b-3c4a9275d6c8
ERR3469398,Skin,Canis familiaris,WXS,AAEX03,150,822069900,PRJEB24200,SAMEA4729485,169317316,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-06-14,ERX3491061,SAMEA4729485,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-06-14T15:33:22Z,public,Illumina HiSeq 4000,DN523795J:C8,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:21:00Z,1,SAMEA4729485,73ab7424-6fc1-11e8-bf99-3c4a9275d6c8,ERP106009,familiaris,DD0114a,73ab7424-6fc1-11e8-bf99-3c4a9275d6c8
ERR3469399,Skin,Canis familiaris,WXS,AAEX03,150,8581480050,PRJEB24200,SAMEA4729486,1685016038,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-06-14,ERX3491062,SAMEA4729486,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-06-14T15:33:22Z,public,Illumina HiSeq 4000,DN523795J:D8,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:42:00Z,1,SAMEA4729486,73b85f2c-6fc1-11e8-bf99-3c4a9275d6c8,ERP106009,familiaris,DD0118a,73b85f2c-6fc1-11e8-bf99-3c4a9275d6c8
ERR3469400,Skin,Canis familiaris,WXS,AAEX03,150,14688584400,PRJEB24200,SAMEA4729487,2877712809,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2019-08-06,2019-08-06,2019-08-05,2018-06-14,ERX3491063,SAMEA4729487,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-06-14T15:33:22Z,public,Illumina HiSeq 4000,DN523795J:E8,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:56:00Z,1,SAMEA4729487,73c7ef64-6fc1-11e8-bf99-3c4a9275d6c8,ERP106009,familiaris,DD0123a,73c7ef64-6fc1-11e8-bf99-3c4a9275d6c8
ERR3469368,Skin,Canis familiaris,WXS,AAEX03,150,7153810050,PRJEB24200,SAMEA4673527,1498954585,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491031,SAMEA4673527,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:20Z,public,Illumina HiSeq 4000,DN520574J:C6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:40:00Z,1,SAMEA4673527,627ec11a-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0120a,627ec11a-5392-11e8-a54b-3c4a9275d6c8
ERR3469371,Skin,Canis familiaris,WXS,AAEX03,150,8140340850,PRJEB24200,SAMEA4673531,1693022113,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491034,SAMEA4673531,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:21Z,public,Illumina HiSeq 4000,DN520574J:G6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:41:00Z,1,SAMEA4673531,629b41be-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0128c,629b41be-5392-11e8-a54b-3c4a9275d6c8
ERR3469372,Skin,Canis familiaris,WXS,AAEX03,150,9912784950,PRJEB24200,SAMEA4673532,2097713802,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491035,SAMEA4673532,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:21Z,public,Illumina HiSeq 4000,DN520574J:H6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:42:00Z,1,SAMEA4673532,62a2d0c8-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0127a,62a2d0c8-5392-11e8-a54b-3c4a9275d6c8
ERR3469373,Skin,Canis familiaris,WXS,AAEX03,150,7795712250,PRJEB24200,SAMEA4673533,1633950840,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491036,SAMEA4673533,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:21Z,public,Illumina HiSeq 4000,DN520574J:A7,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:39:00Z,1,SAMEA4673533,62aa1734-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0129a,62aa1734-5392-11e8-a54b-3c4a9275d6c8
ERR3469374,Blood,Canis familiaris,WXS,AAEX03,150,7230135150,PRJEB24200,SAMEA4673485,1683644366,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491037,SAMEA4673485,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:08Z,public,Illumina HiSeq 4000,DN520574J:A1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:38:00Z,1,SAMEA4673485,60caa67c-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0106b,60caa67c-5392-11e8-a54b-3c4a9275d6c8
ERR3469375,Blood,Canis familiaris,WXS,AAEX03,150,5894580150,PRJEB24200,SAMEA4673486,1366620886,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491038,SAMEA4673486,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:08Z,public,Illumina HiSeq 4000,DN520574J:B1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:32:00Z,1,SAMEA4673486,60dec3c8-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0107b,60dec3c8-5392-11e8-a54b-3c4a9275d6c8
ERR3469376,Blood,Canis familiaris,WXS,AAEX03,150,6382142550,PRJEB24200,SAMEA4673487,1522034396,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491039,SAMEA4673487,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:09Z,public,Illumina HiSeq 4000,DN520574J:C1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:35:00Z,1,SAMEA4673487,60f9f134-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0108b,60f9f134-5392-11e8-a54b-3c4a9275d6c8
ERR3469379,Blood,Canis familiaris,WXS,AAEX03,150,6707651400,PRJEB24200,SAMEA4673490,1602931081,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491042,SAMEA4673490,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:09Z,public,Illumina HiSeq 4000,DN520574J:F1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:36:00Z,1,SAMEA4673490,613f3c94-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0111b,613f3c94-5392-11e8-a54b-3c4a9275d6c8
ERR3469381,Blood,Canis familiaris,WXS,AAEX03,150,5645997750,PRJEB24200,SAMEA4673492,1339047502,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491044,SAMEA4673492,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:10Z,public,Illumina HiSeq 4000,DN520574J:H1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Blood,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:35:00Z,1,SAMEA4673492,615f4412-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0113b,615f4412-5392-11e8-a54b-3c4a9275d6c8
ERR3469383,Skin,Canis familiaris,WXS,AAEX03,150,8050417200,PRJEB24200,SAMEA4673510,1962459076,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491046,SAMEA4673510,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:15Z,public,Illumina HiSeq 4000,DN520574J:B4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:37:00Z,1,SAMEA4673510,61fa103c-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0109a,61fa103c-5392-11e8-a54b-3c4a9275d6c8
ERR3469385,Skin,Canis familiaris,WXS,AAEX03,150,239152800,PRJEB24200,SAMEA4673512,84494621,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2019-08-06,2019-08-06,2019-08-05,2018-05-22,ERX3491048,SAMEA4673512,SC,Wellcome Sanger Institute,2019-08-06T04:06:09Z,2018-05-22T11:21:15Z,public,Illumina HiSeq 4000,DN520574J:D4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2019-08-07T00:00:00Z,2019-08-07T17:19:00Z,1,SAMEA4673512,620a2512-5392-11e8-a54b-3c4a9275d6c8,ERP106009,familiaris,DD0110a,620a2512-5392-11e8-a54b-3c4a9275d6c8
