Run,ArrayExpress-Phenotype,ArrayExpress-SPECIES,Assay Type,BioProject,BioSample,Center Name,common_name,Consent,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,Sample Name,Sample_Name,SRA Study,Subject_ID,Submitter_Id,AssemblyName,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,ArrayExpress-Sex,gender,sub_species
ERR6718481,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082174,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-21,2021-09-14,ERX6343075,SAMEA7082174,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:H6,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082174,13ba987a-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0047b,13ba987a-6370-11ea-891f-fa163e2f1184,NKLS02,202,10512412896,1812021658,"sra,cram,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2021-10-04T23:59:00Z,1,female,female,
ERR6718584,Bladder,Bos taurus,WXS,PRJEB57227,SAMEA7082193,WELLCOME SANGER INSTITUTE,cattle,public,2021-09-14,2021-09-14,2021-10-20,2021-09-14,ERX6343178,SAMEA7082193,SC,Wellcome Sanger Institute,2021-09-14T09:15:48Z,2021-09-14T09:15:48Z,public,Illumina NovaSeq 6000,DN610740G:G8,PAIRED,Hybrid Selection,GENOMIC,Bos taurus,Bladder,ILLUMINA,2021-09-28T00:00:00Z,SAMEA7082193,142bbabe-6370-11ea-891f-fa163e2f1184,ERP142199,BTAUD0054b,142bbabe-6370-11ea-891f-fa163e2f1184,NKLS02,202,10559879058,2043912167,"cram,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2021-10-05T02:15:00Z,1,female,female,
ERR10561101,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112178005,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074760,SAMEA112178005,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:E3,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178005,f8a25852-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0057b,f8a25852-587f-11ea-948a-fa163e2f1184,AANG04,202,4761386440,661554286,"cram,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2022-12-19T14:45:00Z,1,male,male,
ERR10561102,Bladder,<html>Felis catus </html>,WXS,PRJEB57227,SAMEA112178007,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074761,SAMEA112178007,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:C6,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178007,bccb43e6-5ec6-11ea-b4f6-fa163e9d6485,ERP142199,CATD0074a,bccb43e6-5ec6-11ea-b4f6-fa163e9d6485,AANG04,202,5545116140,743172023,"sra,cram,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2022-12-19T14:42:00Z,1,male,male,
ERR10561104,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177993,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074763,SAMEA112177993,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606969V:H7,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177993,f7d2fca6-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0044a,f7d2fca6-587f-11ea-948a-fa163e2f1184,AANG04,202,5093040342,909712008,"cram,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-12-19T14:47:00Z,1,female,female,
ERR10561106,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177996,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074765,SAMEA112177996,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606969V:B8,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177996,f7e0101c-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0045a,f7e0101c-587f-11ea-948a-fa163e2f1184,AANG04,202,5381743388,877037106,"run.zq,cram,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2022-12-19T14:55:00Z,1,female,female,
ERR10561108,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112178006,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074767,SAMEA112178006,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:D3,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178006,f89b6dc6-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0057a,f89b6dc6-587f-11ea-948a-fa163e2f1184,AANG04,202,4923247424,799365068,"sra,run.zq,cram","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2022-12-19T14:27:00Z,1,male,male,
ERR10561112,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177993,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074771,SAMEA112177993,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606969V:H7,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177993,f7d2fca6-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0044a,f7d2fca6-587f-11ea-948a-fa163e2f1184,AANG04,202,5083534020,903593612,"run.zq,sra,cram","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",2022-12-19T14:24:00Z,1,female,female,
ERR10561113,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177994,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074772,SAMEA112177994,SC,Wellcome Sanger Institute,2022-12-02T16:17:18Z,2022-12-02T16:17:18Z,public,Illumina NovaSeq 6000,DN606969V:A8,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177994,f7d999a8-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0044b,f7d999a8-587f-11ea-948a-fa163e2f1184,AANG04,202,9697907890,1365376561,"cram,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2022-12-19T14:21:00Z,1,female,female,
ERR10561115,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177995,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074774,SAMEA112177995,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606969V:C8,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177995,f7e6931a-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0045b,f7e6931a-587f-11ea-948a-fa163e2f1184,AANG04,202,8455028352,1087187498,"sra,cram,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2022-12-19T15:34:00Z,1,female,female,
ERR10561117,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112178005,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074776,SAMEA112178005,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:E3,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178005,f8a25852-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0057b,f8a25852-587f-11ea-948a-fa163e2f1184,AANG04,202,4808936836,663775960,"cram,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2022-12-19T14:09:00Z,1,male,male,
ERR10561121,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177994,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074780,SAMEA112177994,SC,Wellcome Sanger Institute,2022-12-02T16:17:18Z,2022-12-02T16:17:18Z,public,Illumina NovaSeq 6000,DN606969V:A8,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177994,f7d999a8-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0044b,f7d999a8-587f-11ea-948a-fa163e2f1184,AANG04,202,9473792324,1327769546,"cram,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2022-12-19T14:42:00Z,1,female,female,
ERR10561124,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112178006,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074783,SAMEA112178006,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:D3,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178006,f89b6dc6-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0057a,f89b6dc6-587f-11ea-948a-fa163e2f1184,AANG04,202,4999805828,796918107,"run.zq,cram,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2022-12-19T14:56:00Z,1,male,male,
ERR10561125,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112178005,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074784,SAMEA112178005,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:E3,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178005,f8a25852-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0057b,f8a25852-587f-11ea-948a-fa163e2f1184,AANG04,202,4860237564,658300927,"cram,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2022-12-19T14:57:00Z,1,male,male,
ERR10561126,Bladder,<html>Felis catus </html>,WXS,PRJEB57227,SAMEA112178007,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074785,SAMEA112178007,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN609439M:C6,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112178007,bccb43e6-5ec6-11ea-b4f6-fa163e9d6485,ERP142199,CATD0074a,bccb43e6-5ec6-11ea-b4f6-fa163e9d6485,AANG04,202,5644892020,737365892,"run.zq,cram,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2022-12-19T14:09:00Z,1,male,male,
ERR10561128,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177993,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074787,SAMEA112177993,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606969V:H7,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177993,f7d2fca6-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0044a,f7d2fca6-587f-11ea-948a-fa163e2f1184,AANG04,202,5160328966,901973922,"sra,run.zq,cram","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2022-12-19T14:56:00Z,1,female,female,
ERR10561131,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177995,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074790,SAMEA112177995,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606969V:C8,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177995,f7e6931a-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0045b,f7e6931a-587f-11ea-948a-fa163e2f1184,AANG04,202,8584641046,1076498728,"run.zq,cram,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2022-12-19T14:28:00Z,1,female,female,
ERR10561133,Kidney,Felis catus,WXS,PRJEB57227,SAMEA112177964,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074792,SAMEA112177964,SC,Wellcome Sanger Institute,2022-12-02T20:23:43Z,2022-12-02T20:23:43Z,public,Illumina NovaSeq 6000,DN606935L:B1,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Kidney,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177964,f6687ef4-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0021b,f6687ef4-587f-11ea-948a-fa163e2f1184,AANG04,202,11450206380,1659884044,"run.zq,cram,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2022-12-19T15:51:00Z,1,male,male,
ERR10561136,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177966,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074795,SAMEA112177966,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606935L:E1,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177966,f6879c26-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0024a,f6879c26-587f-11ea-948a-fa163e2f1184,AANG04,202,15455932838,1859756931,"cram,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2022-12-19T15:17:00Z,1,female,female,
ERR10561141,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177972,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074800,SAMEA112177972,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606935L:B2,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177972,f6ff185a-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0031b,f6ff185a-587f-11ea-948a-fa163e2f1184,AANG04,202,14736718706,1849822880,"sra,run.zq,cram","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2022-12-19T14:50:00Z,1,male,male,
ERR10561143,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177974,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074802,SAMEA112177974,SC,Wellcome Sanger Institute,2022-12-02T16:17:17Z,2022-12-02T16:17:17Z,public,Illumina NovaSeq 6000,DN606935L:D2,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177974,f70d28f0-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0033b,f70d28f0-587f-11ea-948a-fa163e2f1184,AANG04,202,11167031266,1365416149,"sra,cram,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2022-12-19T15:26:00Z,1,female,female,
ERR10561144,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177975,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074803,SAMEA112177975,SC,Wellcome Sanger Institute,2022-12-02T16:17:18Z,2022-12-02T16:17:18Z,public,Illumina NovaSeq 6000,DN606935L:E2,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177975,f714673c-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0034a,f714673c-587f-11ea-948a-fa163e2f1184,AANG04,202,11536374328,1401338803,"run.zq,cram,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",2022-12-19T14:23:00Z,1,female,female,
ERR10561145,Bladder,Felis catus,WXS,PRJEB57227,SAMEA112177976,WELLCOME SANGER INSTITUTE,domestic cat,public,2022-12-02,2022-12-02,2022-12-02,2022-12-02,ERX10074804,SAMEA112177976,SC,Wellcome Sanger Institute,2022-12-02T16:17:18Z,2022-12-02T16:17:18Z,public,Illumina NovaSeq 6000,DN606935L:F2,PAIRED,Hybrid Selection,GENOMIC,Felis catus,Bladder,ILLUMINA,2022-12-03T00:00:00Z,SAMEA112177976,f71cd700-587f-11ea-948a-fa163e2f1184,ERP142199,CATD0034b,f71cd700-587f-11ea-948a-fa163e2f1184,AANG04,202,12106083008,1413107936,"sra,cram,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",2022-12-19T14:23:00Z,1,female,female,
