Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,sub_species,Submitter_Id,tissue_type
ERR9923015,WXS,AAEX03,302,19623426366,PRJEB53653,SAMEA110220136,9530583591,UPPSALA UNIVERISTY,dog,public,"bam,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466708,SAMEA110220136,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-30T21:54:00Z,1,SAMEA110220136,CMT_NORMAL_21_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_21_DUP_BQSR.bam,DNA from white blood cells
ERR9923016,WXS,AAEX03,302,18208634282,PRJEB53653,SAMEA110220137,9056606136,UPPSALA UNIVERISTY,dog,public,"sra,bam,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466709,SAMEA110220137,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:15:00Z,1,SAMEA110220137,CMT_NORMAL_22_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_22_DUP_BQSR.bam,DNA from white blood cells
ERR9923017,WXS,AAEX03,302,20097861722,PRJEB53653,SAMEA110220138,9585044722,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466710,SAMEA110220138,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-08-01T08:00:00Z,1,SAMEA110220138,CMT_NORMAL_23_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_23_DUP_BQSR.bam,DNA from white blood cells
ERR9923018,WXS,AAEX03,302,19686872036,PRJEB53653,SAMEA110220139,9651939150,UPPSALA UNIVERISTY,dog,public,"bam,sra,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466711,SAMEA110220139,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:29:00Z,1,SAMEA110220139,CMT_NORMAL_24_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_24_DUP_BQSR.bam,DNA from white blood cells
ERR9923019,WXS,AAEX03,302,16579496792,PRJEB53653,SAMEA110220140,7918388806,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466712,SAMEA110220140,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:12:00Z,1,SAMEA110220140,CMT_NORMAL_25_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_25_DUP_BQSR.bam,DNA from white blood cells
ERR9923020,WXS,AAEX03,302,17449244410,PRJEB53653,SAMEA110220141,8338113788,UPPSALA UNIVERISTY,dog,public,"run.zq,sra,bam","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466713,SAMEA110220141,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-08-01T06:39:00Z,1,SAMEA110220141,CMT_NORMAL_26_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_26_DUP_BQSR.bam,DNA from white blood cells
ERR9923021,WXS,AAEX03,302,20711126176,PRJEB53653,SAMEA110220142,9643577202,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466714,SAMEA110220142,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-30T21:34:00Z,1,SAMEA110220142,CMT_NORMAL_27_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_27_DUP_BQSR.bam,DNA from white blood cells
ERR9923022,WXS,AAEX03,302,17594822604,PRJEB53653,SAMEA110220143,7892240171,UPPSALA UNIVERISTY,dog,public,"run.zq,sra,bam","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466715,SAMEA110220143,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-30T21:42:00Z,1,SAMEA110220143,CMT_NORMAL_28_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_28_DUP_BQSR.bam,DNA from white blood cells
ERR9923023,WXS,AAEX03,302,17234442380,PRJEB53653,SAMEA110220144,7639086262,UPPSALA UNIVERISTY,dog,public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466716,SAMEA110220144,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-30T12:51:00Z,1,SAMEA110220144,CMT_NORMAL_29_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_29_DUP_BQSR.bam,DNA from white blood cells
ERR9923024,WXS,AAEX03,302,22480316468,PRJEB53653,SAMEA110220145,10422421753,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466717,SAMEA110220145,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-30T22:00:00Z,1,SAMEA110220145,CMT_NORMAL_3_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_3_DUP_BQSR.bam,DNA from white blood cells
ERR9923025,WXS,AAEX03,302,22336568998,PRJEB53653,SAMEA110220146,10202878207,UPPSALA UNIVERISTY,dog,public,"bam,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466718,SAMEA110220146,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:14:00Z,1,SAMEA110220146,CMT_NORMAL_30_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_30_DUP_BQSR.bam,DNA from white blood cells
ERR9923026,WXS,AAEX03,302,21673409916,PRJEB53653,SAMEA110220147,9961481115,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466719,SAMEA110220147,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:32:00Z,1,SAMEA110220147,CMT_NORMAL_31_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_31_DUP_BQSR.bam,DNA from white blood cells
ERR9923027,WXS,AAEX03,302,16538960540,PRJEB53653,SAMEA110220148,7625840916,UPPSALA UNIVERISTY,dog,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466720,SAMEA110220148,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T11:40:00Z,1,SAMEA110220148,CMT_NORMAL_32_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_32_DUP_BQSR.bam,DNA from white blood cells
ERR9923028,WXS,AAEX03,302,16913937028,PRJEB53653,SAMEA110220149,7652888916,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466721,SAMEA110220149,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:11:00Z,1,SAMEA110220149,CMT_NORMAL_33_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_33_DUP_BQSR.bam,DNA from white blood cells
ERR9923029,WXS,AAEX03,302,23228974770,PRJEB53653,SAMEA110220150,10853079036,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466722,SAMEA110220150,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:34:00Z,1,SAMEA110220150,CMT_NORMAL_34_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_34_DUP_BQSR.bam,DNA from white blood cells
ERR9923030,WXS,AAEX03,302,22262840228,PRJEB53653,SAMEA110220151,10247165330,UPPSALA UNIVERISTY,dog,public,"run.zq,sra,bam","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466723,SAMEA110220151,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:26:00Z,1,SAMEA110220151,CMT_NORMAL_35_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_35_DUP_BQSR.bam,DNA from white blood cells
ERR9923031,WXS,AAEX03,302,23492931528,PRJEB53653,SAMEA110220152,11126177511,UPPSALA UNIVERISTY,dog,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466724,SAMEA110220152,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T09:23:00Z,1,SAMEA110220152,CMT_NORMAL_36_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_36_DUP_BQSR.bam,DNA from white blood cells
ERR9923032,WXS,AAEX03,302,18027152214,PRJEB53653,SAMEA110220153,8176495905,UPPSALA UNIVERISTY,dog,public,"run.zq,bam,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466725,SAMEA110220153,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T09:12:00Z,1,SAMEA110220153,CMT_NORMAL_37_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_37_DUP_BQSR.bam,DNA from white blood cells
ERR9923033,WXS,AAEX03,302,16664271514,PRJEB53653,SAMEA110220154,7619262963,UPPSALA UNIVERISTY,dog,public,"sra,bam,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466726,SAMEA110220154,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:25:00Z,1,SAMEA110220154,CMT_NORMAL_38_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_38_DUP_BQSR.bam,DNA from white blood cells
ERR9923034,WXS,AAEX03,302,18986221768,PRJEB53653,SAMEA110220155,8618520164,UPPSALA UNIVERISTY,dog,public,"sra,bam,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466727,SAMEA110220155,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T09:11:00Z,1,SAMEA110220155,CMT_NORMAL_39_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_39_DUP_BQSR.bam,DNA from white blood cells
ERR9923035,WXS,AAEX03,302,15838215746,PRJEB53653,SAMEA110220156,7267181548,UPPSALA UNIVERISTY,dog,public,"sra,bam,run.zq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466728,SAMEA110220156,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:52:00Z,1,SAMEA110220156,CMT_NORMAL_4_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_4_DUP_BQSR.bam,DNA from white blood cells
ERR9923036,WXS,AAEX03,302,25854362544,PRJEB53653,SAMEA110220157,11649521658,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466729,SAMEA110220157,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T09:24:00Z,1,SAMEA110220157,CMT_NORMAL_40_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_40_DUP_BQSR.bam,DNA from white blood cells
ERR9923037,WXS,AAEX03,302,12243968484,PRJEB53653,SAMEA110220158,5751324705,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466730,SAMEA110220158,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T08:08:00Z,1,SAMEA110220158,CMT_NORMAL_41_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_41_DUP_BQSR.bam,DNA from white blood cells
ERR9923038,WXS,AAEX03,302,18378981006,PRJEB53653,SAMEA110220159,8288880731,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466731,SAMEA110220159,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T09:17:00Z,1,SAMEA110220159,CMT_NORMAL_42_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_42_DUP_BQSR.bam,DNA from white blood cells
ERR9923039,WXS,AAEX03,302,15501988274,PRJEB53653,SAMEA110220160,7221466635,UPPSALA UNIVERISTY,dog,public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2022-07-09,2022-07-09,2022-07-09,2022-07-09,ERX9466732,SAMEA110220160,UPPSALA UNIVERISTY,UPPSALA UNIVERISTY,2022-07-09T00:22:06Z,2022-07-09T00:22:06Z,public,Illumina NovaSeq 6000,,SINGLE,Hybrid Selection,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-07-13T00:00:00Z,2022-07-28T09:19:00Z,1,SAMEA110220160,CMT_NORMAL_43_DUP_BQSR.bam,ERP138464,familiaris,CMT_NORMAL_43_DUP_BQSR.bam,DNA from white blood cells
