Run,ArrayExpress-Phenotype,ArrayExpress-SPECIES,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,sub_species,Subject_ID,Submitter_Id,ArrayExpress-Sex,gender
ERR5952392,Skeletal muscle,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4427637192,PRJEB36323,SAMEA6502359,664287100,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,sra,cram","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592925,SAMEA6502359,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:F3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skeletal muscle,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:48:00Z,1,SAMEA6502359,4ac96df4-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0159d,4ac96df4-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952394,Heart,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,5017351548,PRJEB36323,SAMEA6502214,790176699,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592927,SAMEA6502214,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:H3,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Heart,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:00:00Z,1,SAMEA6502214,46b67b44-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0150a,46b67b44-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952396,Parathyroid,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4679942868,PRJEB36323,SAMEA6502360,927768629,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,cram,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592929,SAMEA6502360,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:B4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Parathyroid,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:09:00Z,1,SAMEA6502360,4ae2c592-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0160d,4ae2c592-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952397,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4755788818,PRJEB36323,SAMEA6502367,873635155,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592930,SAMEA6502367,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:C4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:03:00Z,1,SAMEA6502367,4b578aee-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0168c,4b578aee-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952398,Skeletal muscle,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,6512140842,PRJEB36323,SAMEA6502292,855870292,WELLCOME SANGER INSTITUTE,dog,public,"cram,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592931,SAMEA6502292,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:D4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skeletal muscle,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:53:00Z,1,SAMEA6502292,48db3c48-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0159b,48db3c48-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952399,Adrenal gland,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4719747170,PRJEB36323,SAMEA6502254,1028052639,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592932,SAMEA6502254,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:E4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Adrenal gland,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:22:00Z,1,SAMEA6502254,47d5ab6c-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0148f,47d5ab6c-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952401,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,7661123508,PRJEB36323,SAMEA6502287,1012264086,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592934,SAMEA6502287,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:G4,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:50:00Z,1,SAMEA6502287,48c3c61c-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0158a,48c3c61c-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952403,Spleen,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4362629552,PRJEB36323,SAMEA6502251,898384859,WELLCOME SANGER INSTITUTE,dog,public,"cram,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592936,SAMEA6502251,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:A5,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Spleen,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:05:00Z,1,SAMEA6502251,47b9382e-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0147e,47b9382e-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952405,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4597248310,PRJEB36323,SAMEA6502336,732131660,WELLCOME SANGER INSTITUTE,dog,public,"sra,cram,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592938,SAMEA6502336,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:C5,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:16:00Z,1,SAMEA6502336,4b38bd30-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0166c,4b38bd30-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952409,Pancreas,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,5236365604,PRJEB36323,SAMEA6502231,705880357,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq,cram","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592942,SAMEA6502231,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:G5,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Pancreas,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:27:00Z,1,SAMEA6502231,472730f0-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0155b,472730f0-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952410,Heart,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,5472386242,PRJEB36323,SAMEA6502277,895886034,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592943,SAMEA6502277,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:H5,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Heart,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:14:00Z,1,SAMEA6502277,48479718-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0154d,48479718-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952411,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,5619567280,PRJEB36323,SAMEA6502354,969018976,WELLCOME SANGER INSTITUTE,dog,public,"cram,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592944,SAMEA6502354,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:A6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:08:00Z,1,SAMEA6502354,4abc2090-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0158d,4abc2090-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952412,Spleen,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4337243606,PRJEB36323,SAMEA6502267,921052345,WELLCOME SANGER INSTITUTE,dog,public,"sra,cram,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592945,SAMEA6502267,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:B6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Spleen,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:48:00Z,1,SAMEA6502267,48254bc2-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0152e,48254bc2-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952414,Heart,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4671597844,PRJEB36323,SAMEA6502240,987742680,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq,cram","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592947,SAMEA6502240,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:D6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Heart,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:06:00Z,1,SAMEA6502240,4763cd30-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0144d,4763cd30-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952416,Pancreas,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,5069163336,PRJEB36323,SAMEA6502272,1053796710,WELLCOME SANGER INSTITUTE,dog,public,"run.zq,cram,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592949,SAMEA6502272,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:F6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Pancreas,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:51:00Z,1,SAMEA6502272,48557716-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0154f,48557716-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952417,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4447659028,PRJEB36323,SAMEA6502333,1017174147,WELLCOME SANGER INSTITUTE,dog,public,"sra,cram,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592950,SAMEA6502333,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536960V:G6,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:18:00Z,1,SAMEA6502333,4b30e31c-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0165d,4b30e31c-3ea5-11ea-91f3-fa163e9d6485,,
ERR5952420,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,7464019180,PRJEB36323,SAMEA6502317,1002267334,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",2021-05-26,2021-05-20,2021-05-26,2021-05-20,ERX5592953,SAMEA6502317,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN543964S:B1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:15:00Z,1,SAMEA6502317,49be9cea-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0172b,49be9cea-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952422,Adrenal gland,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,3110898980,PRJEB36323,SAMEA6502241,727611980,WELLCOME SANGER INSTITUTE,dog,public,"sra,cram,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592955,SAMEA6502241,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536750N:C1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Adrenal gland,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:01:00Z,1,SAMEA6502241,475dcf02-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0143f,475dcf02-3ea5-11ea-91f3-fa163e9d6485,female,female
ERR5952423,Adrenal gland,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,3381406674,PRJEB36323,SAMEA6502252,690596242,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592956,SAMEA6502252,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536750N:D1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Adrenal gland,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:25:00Z,1,SAMEA6502252,47c0ca76-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0147f,47c0ca76-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952429,Skin,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4498298408,PRJEB36323,SAMEA6502308,1181289342,WELLCOME SANGER INSTITUTE,dog,public,"sra,run.zq,cram","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592962,SAMEA6502308,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN543964S:G1,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Skin,ILLUMINA,2021-05-27T00:00:00Z,2021-06-04T23:48:00Z,1,SAMEA6502308,49622d70-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0167b,49622d70-3ea5-11ea-91f3-fa163e9d6485,male,male
ERR5952431,Kidney,<html>Canis familiaris </html>,Targeted-Capture,AAEX03,202,4451296038,PRJEB36323,SAMEA6502261,940695630,WELLCOME SANGER INSTITUTE,dog,public,"cram,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2021-05-26,2021-05-20,2021-10-21,2021-05-20,ERX5592964,SAMEA6502261,SC,Wellcome Sanger Institute,2021-05-20T13:59:52Z,2021-05-20T13:59:52Z,public,Illumina NovaSeq 6000,DN536750N:A2,PAIRED,Hybrid Selection,GENOMIC,Canis lupus familiaris,Kidney,ILLUMINA,2021-05-27T00:00:00Z,2021-06-05T00:18:00Z,1,SAMEA6502261,4800c554-3ea5-11ea-91f3-fa163e9d6485,ERP119497,familiaris,DD0150f,4800c554-3ea5-11ea-91f3-fa163e9d6485,male,male
