"Run_ID","BioProject","Sample_ID","Case_ID","Breed","Age","Platform","ReleaseDate","Organization","Sex","Tissue","Tumor_type","Status","Symbol","Sample_status","Disease_stage","Survival_status","Tumor_grade"
"SRR21943506","PRJNA891496","SAMN31329636","906","Labrador Retriever",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943507","PRJNA891496","SAMN31329637","913","Crossbreed",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943508","PRJNA891496","SAMN31329638","1220Blood","Belgian Shepherd",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943509","PRJNA891496","SAMN31329639","857Blood","English Cocker Spaniel",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","female","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943510","PRJNA891496","SAMN31329640","1024Blood","Crossbreed",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943511","PRJNA891496","SAMN31329614","LDG-0004","Malinois",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"SRR21943512","PRJNA891496","SAMN31329641","888Blood","Pitbull",NA,"ILLUMINA","2023-02-16T00:00:00Z","Ghent University","male","Blood","Non-Tumor (Unclassified)","Normal",NA,NA,NA,NA,NA
"ERR9923005","PRJEB53653","SAMEA110220126","1",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923006","PRJEB53653","SAMEA110220127","11",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923007","PRJEB53653","SAMEA110220128","12",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923008","PRJEB53653","SAMEA110220129","13",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923009","PRJEB53653","SAMEA110220130","15",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923010","PRJEB53653","SAMEA110220131","16",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923011","PRJEB53653","SAMEA110220132","17",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923012","PRJEB53653","SAMEA110220133","19",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923013","PRJEB53653","SAMEA110220134","2",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923014","PRJEB53653","SAMEA110220135","20",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923015","PRJEB53653","SAMEA110220136","21",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923016","PRJEB53653","SAMEA110220137","22",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923017","PRJEB53653","SAMEA110220138","23",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923018","PRJEB53653","SAMEA110220139","24",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923019","PRJEB53653","SAMEA110220140","25",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923020","PRJEB53653","SAMEA110220141","26",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923021","PRJEB53653","SAMEA110220142","27",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923022","PRJEB53653","SAMEA110220143","28",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923023","PRJEB53653","SAMEA110220144","29",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923024","PRJEB53653","SAMEA110220145","3",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923025","PRJEB53653","SAMEA110220146","30",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923026","PRJEB53653","SAMEA110220147","31",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923027","PRJEB53653","SAMEA110220148","32",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923028","PRJEB53653","SAMEA110220149","33",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923029","PRJEB53653","SAMEA110220150","34",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923030","PRJEB53653","SAMEA110220151","35",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923031","PRJEB53653","SAMEA110220152","36",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923032","PRJEB53653","SAMEA110220153","37",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923033","PRJEB53653","SAMEA110220154","38",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923034","PRJEB53653","SAMEA110220155","39",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923035","PRJEB53653","SAMEA110220156","4",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923036","PRJEB53653","SAMEA110220157","40",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923037","PRJEB53653","SAMEA110220158","41",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923038","PRJEB53653","SAMEA110220159","42",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923039","PRJEB53653","SAMEA110220160","43",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923040","PRJEB53653","SAMEA110220161","44",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923041","PRJEB53653","SAMEA110220162","45",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923042","PRJEB53653","SAMEA110220163","46",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923043","PRJEB53653","SAMEA110220164","47",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923044","PRJEB53653","SAMEA110220165","5",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923045","PRJEB53653","SAMEA110220166","50",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923046","PRJEB53653","SAMEA110220167","51",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923047","PRJEB53653","SAMEA110220168","53",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923048","PRJEB53653","SAMEA110220169","54",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923049","PRJEB53653","SAMEA110220170","55",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923050","PRJEB53653","SAMEA110220171","56",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923051","PRJEB53653","SAMEA110220172","59",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923052","PRJEB53653","SAMEA110220173","6",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923053","PRJEB53653","SAMEA110220174","7",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923054","PRJEB53653","SAMEA110220175","75",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923055","PRJEB53653","SAMEA110220176","78",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923056","PRJEB53653","SAMEA110220177","79",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923057","PRJEB53653","SAMEA110220178","8",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923058","PRJEB53653","SAMEA110220179","9",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"white blood cells","Mammary neoplasia (MT)","Normal",NA,NA,NA,NA,NA
"ERR9923059","PRJEB53653","SAMEA110220180","1",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923060","PRJEB53653","SAMEA110220189","10",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923061","PRJEB53653","SAMEA110220190","11",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923062","PRJEB53653","SAMEA110220191","12",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923063","PRJEB53653","SAMEA110220192","13",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923064","PRJEB53653","SAMEA110220193","14",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923065","PRJEB53653","SAMEA110220194","15",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923066","PRJEB53653","SAMEA110220195","16",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923067","PRJEB53653","SAMEA110220196","17",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923068","PRJEB53653","SAMEA110220197","19",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923069","PRJEB53653","SAMEA110220181","2",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923070","PRJEB53653","SAMEA110220198","20",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923071","PRJEB53653","SAMEA110220199","21",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923072","PRJEB53653","SAMEA110220200","22",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923073","PRJEB53653","SAMEA110220201","23",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923074","PRJEB53653","SAMEA110220202","24",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923075","PRJEB53653","SAMEA110220203","25",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923076","PRJEB53653","SAMEA110220204","26",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
"ERR9923077","PRJEB53653","SAMEA110220205","27",NA,NA,"ILLUMINA","2022-07-13T00:00:00Z","Uppsala University",NA,"mammary tumor tissue","Mammary neoplasia (MT)","Tumor",NA,NA,NA,NA,NA
